Project Description,Location,Contractor,Cost,Completion Date,,Description,Start_Date,Contractor,Contract_Cost,Location,Region,Category,FY
"Rehabilitation of Barangay Tumana Drainage System, Marikina City",MARIKINA CITY,MRB11 CONSTRUCTION CORPORATION (FORMERLY:MRB CONS,"28,797,915.84",01/17/2025,REPORT,"Rehabilitation of Barangay Tumana Drainage System, Marikina City",04/08/2024,"CONTRACTOR:
MRB11 CONSTRUCTION CORPORATION (FORMERLY:MRB CONS","CONTRACT COST: 28,797,915.84","MARIKINA CITY (14.598667 , 121.032035)",National Capital Region,Rehabilitation / Major Repair of Drainage Structure,FY 2024
"Improvement of Drainage System at Barangay Tumana, Marikina City",MARIKINA CITY,MRB11 CONSTRUCTION CORPORATION (FORMERLY:MRB CONS,"29,177,719.98",01/17/2025,REPORT,"Improvement of Drainage System at Barangay Tumana, Marikina City",04/08/2024,"CONTRACTOR:
MRB11 CONSTRUCTION CORPORATION (FORMERLY:MRB CONS","CONTRACT COST: 29,177,719.98","MARIKINA CITY (14.658164 , 121.102115)",National Capital Region,Rehabilitation / Major Repair of Drainage Structure,FY 2024
"Construction of Flood Control structure along Bauang River Basin (Package 3), Naguilian, La Union",LA UNION,MG SAMIDAN CONSTRUCTION,"94,560,926.77",01/16/2025,REPORT,"Construction of Flood Control structure along Bauang River Basin (Package 3), Naguilian, La Union",04/18/2024,"CONTRACTOR:
MG SAMIDAN CONSTRUCTION","CONTRACT COST: 94,560,926.77","LA UNION (16.521669 , 120.388942)",Region I,Construction of Flood Mitigation Structure,FY 2024
"Construction of Bacauan - Palaca River Control including Access Road , Miagao, Iloilo",ILOILO,J'14 CONSTRUCTION & SUPPLY,"4,856,848.48",01/15/2025,REPORT,"Construction of Bacauan - Palaca River Control including Access Road , Miagao, Iloilo",05/13/2024,"CONTRACTOR:
J'14 CONSTRUCTION & SUPPLY","CONTRACT COST: 4,856,848.48","ILOILO (10.639170 , 122.213610)",Region VI,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure along Box Culvert, Barangay Lidong, Polangui, Albay",ALBAY,RICHMAR CONSTRUCTION,"144,749,802.55",01/15/2025,REPORT,"Construction of Flood Control Structure along Box Culvert, Barangay Lidong, Polangui, Albay",05/13/2024,"CONTRACTOR:
RICHMAR CONSTRUCTION","CONTRACT COST: 144,749,802.55","ALBAY (13.346652 , 123.528108)",Region V,Construction of Flood Mitigation Structure,FY 2024
"Construction of Drainage along Arayat Magalang Mabalacat Road, Brgy Sto. Rosario, Magalang, Pampanga",PAMPANGA,RADIANS BUILDERS AND SUPPLY CORPORATION,"19,576,592.61",01/15/2025,REPORT,"Construction of Drainage along Arayat Magalang Mabalacat Road, Brgy Sto. Rosario, Magalang, Pampanga",04/02/2024,"CONTRACTOR:
RADIANS BUILDERS AND SUPPLY CORPORATION","CONTRACT COST: 19,576,592.61","PAMPANGA (15.256850 , 120.634500)",Region III,Construction of Drainage Structure,FY 2024
"Construction of Flood Control structure along Bauang River Basin (Package 1), Naguilian, La Union",LA UNION,MG SAMIDAN CONSTRUCTION,"94,560,825.52",01/14/2025,REPORT,"Construction of Flood Control structure along Bauang River Basin (Package 1), Naguilian, La Union",04/18/2024,"CONTRACTOR:
MG SAMIDAN CONSTRUCTION","CONTRACT COST: 94,560,825.52","LA UNION (16.513094 , 120.384911)",Region I,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control structure along Bauang River Basin (Package 2), Naguilian, La Union",LA UNION,MG SAMIDAN CONSTRUCTION,"94,560,126.68",01/14/2025,REPORT,"Construction of Flood Control structure along Bauang River Basin (Package 2), Naguilian, La Union",04/18/2024,"CONTRACTOR:
MG SAMIDAN CONSTRUCTION","CONTRACT COST: 94,560,126.68","LA UNION (16.519233 , 120.387553)",Region I,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure along Baguan River, Tarragona, Davao Oriental",DAVAO ORIENTAL,"P.L. SEBASTIAN CONSTRUCTION, INC. (FORMERLY: P.L. SEBASTIAN CONSTRUCTION)","48,248,389.36",01/13/2025,REPORT,"Construction of Flood Mitigation Structure along Baguan River, Tarragona, Davao Oriental",03/19/2024,"CONTRACTOR:
P.L. SEBASTIAN CONSTRUCTION, INC. (FORMERLY: P.L. SEBASTIAN CONSTRUCTION)","CONTRACT COST: 48,248,389.36","DAVAO ORIENTAL (7.056676 , 126.408643)",Region XI,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure along Madlum River (Phase 3), Barangay Masalipit, San Miguel Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,"96,499,350.30",01/13/2025,REPORT,"Construction of Flood Mitigation Structure along Madlum River (Phase 3), Barangay Masalipit, San Miguel Bulacan",07/15/2024,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.","CONTRACT COST: 96,499,350.30","BULACAN (15.165000 , 121.052500)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure along Madlum River FSRR, Brgy. Tartaro, San Miguel, Bulacan (Phase 1)",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,"98,999,298.67",01/13/2025,REPORT,"Construction of Flood Mitigation Structure along Madlum River FSRR, Brgy. Tartaro, San Miguel, Bulacan (Phase 1)",06/20/2024,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.","CONTRACT COST: 98,999,298.67","BULACAN (15.164700 , 121.052400)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure including Road Dike, Malangaan Section (Upstream), Doña Remedios Trinidad, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,"98,999,239.11",01/13/2025,REPORT,"Construction of Flood Mitigation Structure including Road Dike, Malangaan Section (Upstream), Doña Remedios Trinidad, Bulacan",06/19/2024,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.","CONTRACT COST: 98,999,239.11","BULACAN (14.986300 , 121.069100)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure including Road Dike, Malangaan Section (Downstream), Doña Remedios Trinidad, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,"98,999,634.82",01/13/2025,REPORT,"Construction of Flood Mitigation Structure including Road Dike, Malangaan Section (Downstream), Doña Remedios Trinidad, Bulacan",06/19/2024,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.","CONTRACT COST: 98,999,634.82","BULACAN (14.984700 , 121.068700)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction of Drainage System along Arellano St., Paco, Manila",CITY OF MANILA,1129 BUILDERS,"29,395,548.76",01/13/2025,REPORT,"Construction of Drainage System along Arellano St., Paco, Manila",02/21/2024,"CONTRACTOR:
1129 BUILDERS","CONTRACT COST: 29,395,548.76","CITY OF MANILA (14.567879 , 120.997968)",National Capital Region,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Riverbank Structure along Aloragat and Allied Rivers, Package 2, Binalonan -Laoac, Pangasinan",PANGASINAN,SILVERWOLVES CONSTRUCTION CORPORATION,"48,249,942.73",01/12/2025,REPORT,"Construction of Flood Control Riverbank Structure along Aloragat and Allied Rivers, Package 2, Binalonan -Laoac, Pangasinan",05/03/2024,"CONTRACTOR:
SILVERWOLVES CONSTRUCTION CORPORATION","CONTRACT COST: 48,249,942.73","PANGASINAN (16.043400 , 120.539400)",Region I,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure along Estero dela Reina, Barangay 268, Manila City",CITY OF MANILA,DOUBLE 12 CONSTRUCTION & SUPPLY,"67,305,759.15",01/12/2025,REPORT,"Construction of Flood Mitigation Structure along Estero dela Reina, Barangay 268, Manila City",02/08/2024,"CONTRACTOR:
DOUBLE 12 CONSTRUCTION & SUPPLY","CONTRACT COST: 67,305,759.15","CITY OF MANILA (14.605850 , 120.970828)",National Capital Region,Construction of Revetment,FY 2024
"Rehabilitation of Flood Control Structure along Meycauayan River, Barangay Tawiran to Wawang Pulo, Sta. 02+231 - Sta. 02+356, Obando, Bulacan",BULACAN,"729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","96,499,858.85",01/11/2025,REPORT,"Rehabilitation of Flood Control Structure along Meycauayan River, Barangay Tawiran to Wawang Pulo, Sta. 02+231 - Sta. 02+356, Obando, Bulacan",06/05/2024,"CONTRACTOR:
729 CONSTRUCTION, INC. (FORMERLY 722 CONSTRUCTION, INC.)","CONTRACT COST: 96,499,858.85","BULACAN (14.739736 , 120.919691)",Region III,Rehabilitation / Major Repair of Flood Control Structure,FY 2024
"Construction of Drainage, Brgy. Poblacion, Talisayan, Misamis Oriental",MISAMIS ORIENTAL,CHIU BUILDERS,"14,850,000.00",01/10/2025,REPORT,"Construction of Drainage, Brgy. Poblacion, Talisayan, Misamis Oriental",05/17/2024,"CONTRACTOR:
CHIU BUILDERS","CONTRACT COST: 14,850,000.00","MISAMIS ORIENTAL (8.998910 , 124.883060)",Region X,Construction of Drainage Structure,FY 2024
"Construction of Flood Control along Mananga River (Left Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 3)",CEBU,QM BUILDERS,"144,750,000.00",01/10/2025,REPORT,"Construction of Flood Control along Mananga River (Left Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 3)",02/20/2024,"CONTRACTOR:
QM BUILDERS","CONTRACT COST: 144,750,000.00","CEBU (10.276453 , 123.825159)",Region VII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control along Mananga River (Left Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 4)",CEBU,QM BUILDERS,"144,750,000.00",01/10/2025,REPORT,"Construction of Flood Control along Mananga River (Left Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 4)",02/20/2024,"CONTRACTOR:
QM BUILDERS","CONTRACT COST: 144,750,000.00","CEBU (10.276878 , 123.825501)",Region VII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control along Mananga River (Right Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 3)",CEBU,QM BUILDERS,"144,750,000.00",01/10/2025,REPORT,"Construction of Flood Control along Mananga River (Right Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 3)",02/20/2024,"CONTRACTOR:
QM BUILDERS","CONTRACT COST: 144,750,000.00","CEBU (10.276748 , 123.825558)",Region VII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Mitigation Structure, Salog Bridge Flood Control, Getafe, Bohol",BOHOL,LEDA CONSTRUCTION INCORPORATED,"48,403,180.00",01/10/2025,REPORT,"Construction of Flood Mitigation Structure, Salog Bridge Flood Control, Getafe, Bohol",03/07/2024,"CONTRACTOR:
LEDA CONSTRUCTION INCORPORATED","CONTRACT COST: 48,403,180.00","BOHOL (10.135737 , 124.184987)",Region VII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Sta. Cruz RIS Water Management Flood Control Project of Lapad River, Liliw, Laguna",LAGUNA,L.P.O. ENTERPRISES,"19,599,999.52",01/10/2025,REPORT,"Construction of Sta. Cruz RIS Water Management Flood Control Project of Lapad River, Liliw, Laguna",07/15/2024,"CONTRACTOR:
L.P.O. ENTERPRISES","CONTRACT COST: 19,599,999.52","LAGUNA (14.203204 , 121.405694)",Region IV-A,Construction of Flood Mitigation Structure,FY 2024
"Rehabilitation of Flood Control Structure along Meycauayan River, Barangay Tawiran to Wawang Pulo, Sta. 02+356 - Sta. 02+496, Obando, Bulacan",BULACAN,EDFROBON CONSTRUCTION SERVICES INCORPORATED,"96,499,819.35",01/10/2025,REPORT,"Rehabilitation of Flood Control Structure along Meycauayan River, Barangay Tawiran to Wawang Pulo, Sta. 02+356 - Sta. 02+496, Obando, Bulacan",06/05/2024,"CONTRACTOR:
EDFROBON CONSTRUCTION SERVICES INCORPORATED","CONTRACT COST: 96,499,819.35","BULACAN (14.738402 , 120.921402)",Region III,Rehabilitation / Major Repair of Flood Control Structure,FY 2024
"Construction of Tago RIS Protection Works along Balisong River, Tago, Surigao del Sur",SURIGAO DEL SUR,MELROSHEAN CONSTRUCTION CORPORATION,"29,399,932.61",01/09/2025,REPORT,"Construction of Tago RIS Protection Works along Balisong River, Tago, Surigao del Sur",06/28/2024,"CONTRACTOR:
MELROSHEAN CONSTRUCTION CORPORATION","CONTRACT COST: 29,399,932.61","SURIGAO DEL SUR (8.952067 , 126.230327)",Region XIII,Construction of Flood Mitigation Structure,FY 2024
"Construction of Drainage Structure, Barangay Bantug, Talavera, Nueva Ecija",NUEVA ECIJA,DGSARM BUILDERS INC. (FORMERLY: D.G. SARMENTA CONSTRUCTION),"19,107,581.48",01/09/2025,REPORT,"Construction of Drainage Structure, Barangay Bantug, Talavera, Nueva Ecija",06/14/2024,"CONTRACTOR:
DGSARM BUILDERS INC. (FORMERLY: D.G. SARMENTA CONSTRUCTION)","CONTRACT COST: 19,107,581.48","NUEVA ECIJA (15.559064 , 120.914844)",Region III,Construction of Drainage Structure,FY 2024
"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion West Section), Sta. 001+418 - Sta. 001+848, Barangay Poblacion West, Agno, Pangasinan",PANGASINAN,RAMDC CONSTRUCTION AND TRADING / ALCEL CONSTRUCTION,"96,500,000.00",01/09/2025,REPORT,"Construction of Flood Mitigation Structure along Balingcaguing River (Poblacion West Section), Sta. 001+418 - Sta. 001+848, Barangay Poblacion West, Agno, Pangasinan",02/14/2024,"CONTRACTOR:
RAMDC CONSTRUCTION AND TRADING / ALCEL CONSTRUCTION","CONTRACT COST: 96,500,000.00","PANGASINAN (16.124765 , 119.790688)",Region I,Construction of Flood Mitigation Structure,FY 2024
"Construction of River Control Structure, Barangay Balangasan, Pagadian City, Zamboanga del Sur",ZAMBOANGA DEL SUR,GENETIAN BUILDERS AND ENTERPRISES INCORPORATED (FORMERLY: GENETIAN BUILDERS),"9,789,807.14",01/08/2025,REPORT,"Construction of River Control Structure, Barangay Balangasan, Pagadian City, Zamboanga del Sur",05/13/2024,"CONTRACTOR:
GENETIAN BUILDERS AND ENTERPRISES INCORPORATED (FORMERLY: GENETIAN BUILDERS)","CONTRACT COST: 9,789,807.14","ZAMBOANGA DEL SUR (7.821494 , 123.430128)",Region IX,Construction of Flood Mitigation Structure,FY 2024
"Construction/Improvement of Baco Flood Control System, Brgy. Sta. Rosa II, Baco, Oriental Mindoro",ORIENTAL MINDORO,ARCONIC INC.,"110,974,891.77",01/08/2025,REPORT,"Construction/Improvement of Baco Flood Control System, Brgy. Sta. Rosa II, Baco, Oriental Mindoro",02/08/2024,"CONTRACTOR:
ARCONIC INC.","CONTRACT COST: 110,974,891.77","ORIENTAL MINDORO (13.378889 , 121.023056)",Region IV-B,Construction of Flood Mitigation Structure,FY 2024
"Construction of Eroded Bank along Pampanga River, Barangay Cansinala, Apalit, Pampanga",PAMPANGA,ANGEL BUILDERS & CONSTRUCTION SUPPLY / FRAMECON BUILDERS,"73,322,904.70",01/08/2025,REPORT,"Construction of Eroded Bank along Pampanga River, Barangay Cansinala, Apalit, Pampanga",05/29/2024,"CONTRACTOR:
ANGEL BUILDERS & CONSTRUCTION SUPPLY / FRAMECON BUILDERS","CONTRACT COST: 73,322,904.70","PAMPANGA (14.963593 , 120.784172)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure along Meycauayan River, Sta. 01+950 - Sta. 02+100 (Liputan - Ubihan Section), Meycauayan, Bulacan",BULACAN,A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE,"67,549,934.92",01/08/2025,REPORT,"Construction of Flood Control Structure along Meycauayan River, Sta. 01+950 - Sta. 02+100 (Liputan - Ubihan Section), Meycauayan, Bulacan",02/14/2024,"CONTRACTOR:
A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE","CONTRACT COST: 67,549,934.92","BULACAN (14.739469 , 120.923045)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction/Improvement of Slope Protection Structure and Waterways, Brgy. Sta. Cruz, Guiguinto, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,"98,998,914.62",01/08/2025,REPORT,"Construction/Improvement of Slope Protection Structure and Waterways, Brgy. Sta. Cruz, Guiguinto, Bulacan",04/23/2024,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.","CONTRACT COST: 98,998,914.62","BULACAN (14.846240 , 120.874155)",Region III,Construction of Slope Protection Structure,FY 2024
"Construction of Slope Protection Structure and Waterways, Barangay Malibong Bata, Pandi, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.,"98,998,994.07",01/08/2025,REPORT,"Construction of Slope Protection Structure and Waterways, Barangay Malibong Bata, Pandi, Bulacan",04/23/2024,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / ONE FRAME CONSTRUCTION INC.","CONTRACT COST: 98,998,994.07","BULACAN (14.844215 , 120.923562)",Region III,Construction of Slope Protection Structure,FY 2024
"Construction of Flood Control Structure along Abra River, Upstream and Down Stream of Quirino Bridge, Quirino, Ilocos Sur (Phase 1)",ILOCOS SUR,A.I.P. CONSTRUCTION,"157,294,568.63",01/07/2025,REPORT,"Construction of Flood Control Structure along Abra River, Upstream and Down Stream of Quirino Bridge, Quirino, Ilocos Sur (Phase 1)",02/26/2024,"CONTRACTOR:
A.I.P. CONSTRUCTION","CONTRACT COST: 157,294,568.63","ILOCOS SUR (17.140363 , 120.689400)",Region I,Construction of Flood Mitigation Structure,FY 2024
"Rehabilitation of Drainage System, Barangay Sacred Heart, Quezon City",QUEZON CITY,WIZARD CONCRETE SOLUTIONS AND CONSTRUCTION CORPORATION (FORMERLY: WIZARD TRADING & CONSTRUCTION),"29,681,398.60",01/07/2025,REPORT,"Rehabilitation of Drainage System, Barangay Sacred Heart, Quezon City",02/08/2024,"CONTRACTOR:
WIZARD CONCRETE SOLUTIONS AND CONSTRUCTION CORPORATION (FORMERLY: WIZARD TRADING & CONSTRUCTION)","CONTRACT COST: 29,681,398.60","QUEZON CITY (14.630642 , 121.041009)",National Capital Region,Rehabilitation / Major Repair of Drainage Structure,FY 2024
"Construction of Reinforced Concrete Box Culvert along J.P. Rizal St., Caloocan City",CALOOCAN CITY,"TOUGHBUILT CONSTRUCTION & TRADING, INC.","35,678,835.10",01/07/2025,REPORT,"Construction of Reinforced Concrete Box Culvert along J.P. Rizal St., Caloocan City",02/14/2024,"CONTRACTOR:
TOUGHBUILT CONSTRUCTION & TRADING, INC.","CONTRACT COST: 35,678,835.10","CALOOCAN CITY (14.638395 , 120.970797)",National Capital Region,Construction of Drainage Structure,FY 2024
"Construction of Slope Protection at Lakeshore, Barangay Hagonoy, Taguig City",TAGUIG CITY,TOPNOTCH CATALYST BUILDERS INC. / BEAM TEAM DEVELOPER SPECIALIST INC.,"141,782,501.10",01/07/2025,REPORT,"Construction of Slope Protection at Lakeshore, Barangay Hagonoy, Taguig City",05/29/2024,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / BEAM TEAM DEVELOPER SPECIALIST INC.","CONTRACT COST: 141,782,501.10","TAGUIG CITY (14.505083 , 121.069030)",National Capital Region,Construction of Slope Protection Structure,FY 2024
"Construction of Flood Control Structure, Sta. 00+208 - Sta. 00+312 (Tawiran-Paliwas Section), Obando, Bulacan",BULACAN,G.F. FABIAN CONSTRUCTION,"144,749,905.83",01/06/2025,REPORT,"Construction of Flood Control Structure, Sta. 00+208 - Sta. 00+312 (Tawiran-Paliwas Section), Obando, Bulacan",02/22/2024,"CONTRACTOR:
G.F. FABIAN CONSTRUCTION","CONTRACT COST: 144,749,905.83","BULACAN (14.716653 , 120.931924)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control Structure along Bocaue -Santa Maria River, Sta 02 + 350 - Sta 02 + 500 (Phase 1), Barangay Ubihan, Meycauayan, Bulacan",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"96,499,750.10",01/06/2025,REPORT,"Construction of Flood Control Structure along Bocaue -Santa Maria River, Sta 02 + 350 - Sta 02 + 500 (Phase 1), Barangay Ubihan, Meycauayan, Bulacan",03/14/2024,"CONTRACTOR:
M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION)","CONTRACT COST: 96,499,750.10","BULACAN (14.760779 , 120.909717)",Region III,Construction of Flood Mitigation Structure,FY 2024
"Construction of Flood Control structure along Bauang River Basin (Package 2), Bauang, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,"89,737,280.52",01/06/2025,REPORT,"Construction of Flood Control structure along Bauang River Basin (Package 2), Bauang, La Union",04/16/2024,"CONTRACTOR:
SILVERWOLVES CONSTRUCTION CORPORATION","CONTRACT COST: 89,737,280.52","LA UNION (16.518783 , 120.342058)",Region I,Construction of Flood Mitigation Structure,FY 2024
